1.19681 -1.13478e-006 -2.28174e-008 
0.131228 -1.16631 0.000874494 
-0.643252 -0.67428 -0.0040315 
159.562 167.948 1 
./noisy/crowd/2015_05_12_09_27_33FrontDepth.avi 5 0 3
./normal/uncrowd/2015_05_12_09_31_59FrontDepth.avi 3 0 0
./normal/uncrowd/2015_05_12_09_33_02FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_09_35_04FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_09_43_44FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_09_47_32FrontDepth.avi 4 0 0
./normal/uncrowd/2015_05_12_09_50_32FrontDepth.avi 2 0 0
./normal/crowd/2015_05_12_09_51_01FrontDepth.avi 3 1 1
./normal/uncrowd/2015_05_12_09_51_25FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_09_53_21FrontDepth.avi 3 0 0
./normal/crowd/2015_05_12_09_54_56FrontDepth.avi 4 2 1
./normal/uncrowd/2015_05_12_10_02_20FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_10_03_11FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_10_06_25FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_10_06_36FrontDepth.avi 6 0 0
./normal/uncrowd/2015_05_12_10_10_47FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_10_11_12FrontDepth.avi 3 0 0
./normal/uncrowd/2015_05_12_10_12_04FrontDepth.avi 1 0 0
./normal/crowd/2015_05_12_10_49_22FrontDepth.avi 1 0 1
./normal/crowd/2015_05_12_10_49_54FrontDepth.avi 7 0 1
./normal/uncrowd/2015_05_12_10_50_56FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_10_51_10FrontDepth.avi 2 0 0
./noisy/uncrowd/2015_05_12_10_53_06FrontDepth.avi 2 0 2
./noisy/crowd/2015_05_12_10_55_11FrontDepth.avi 4 0 3
./normal/crowd/2015_05_12_11_01_45FrontDepth.avi 11 0 1
./normal/uncrowd/2015_05_12_11_04_24FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_11_05_22FrontDepth.avi 4 0 0
./normal/uncrowd/2015_05_12_11_09_40FrontDepth.avi 4 0 0
./normal/uncrowd/2015_05_12_11_13_18FrontDepth.avi 2 0 0
./normal/crowd/2015_05_12_11_17_40FrontDepth.avi 10 0 1
./normal/uncrowd/2015_05_12_11_19_43FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_11_21_07FrontDepth.avi 1 0 0
./normal/crowd/2015_05_12_11_26_03FrontDepth.avi 1 0 1
./normal/uncrowd/2015_05_12_11_30_52FrontDepth.avi 3 0 0
./normal/uncrowd/2015_05_12_11_32_30FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_11_40_41FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_11_49_23FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_11_52_06FrontDepth.avi 2 0 0
./normal/crowd/2015_05_12_11_57_35FrontDepth.avi 29 0 1
./normal/uncrowd/2015_05_12_12_05_04FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_12_06_28FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_12_09_46FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_12_15_27FrontDepth.avi 1 1 0
./normal/uncrowd/2015_05_12_12_16_29FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_12_37_57FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_12_43_27FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_12_43_57FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_12_44_55FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_12_45_38FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_12_50_46FrontDepth.avi 6 0 0
./normal/uncrowd/2015_05_12_12_51_58FrontDepth.avi 3 0 0
./normal/uncrowd/2015_05_12_12_52_46FrontDepth.avi 1 0 0
./normal/crowd/2015_05_12_12_55_18FrontDepth.avi 3 0 1
./normal/crowd/2015_05_12_12_56_07FrontDepth.avi 6 0 1
./noisy/uncrowd/2015_05_12_12_56_59FrontDepth.avi 2 0 2
./normal/crowd/2015_05_12_12_57_04FrontDepth.avi 9 0 1
./normal/uncrowd/2015_05_12_13_00_14FrontDepth.avi 6 0 0
./normal/uncrowd/2015_05_12_13_02_02FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_13_05_35FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_13_07_08FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_13_09_01FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_13_17_15FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_13_18_03FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_13_19_10FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_13_21_29FrontDepth.avi 2 0 0
./normal/crowd/2015_05_12_13_26_25FrontDepth.avi 8 0 1
./normal/crowd/2015_05_12_13_29_08FrontDepth.avi 5 1 1
./normal/uncrowd/2015_05_12_13_29_28FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_13_35_00FrontDepth.avi 1 0 0
./normal/crowd/2015_05_12_13_37_14FrontDepth.avi 2 0 1
./normal/uncrowd/2015_05_12_13_40_33FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_14_03_27FrontDepth.avi 1 0 0
./noisy/crowd/2015_05_12_14_13_30FrontDepth.avi 9 0 3
./normal/uncrowd/2015_05_12_14_21_44FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_14_41_18FrontDepth.avi 1 0 0
./noisy/uncrowd/2015_05_12_14_47_57FrontDepth.avi 1 0 2
./noisy/uncrowd/2015_05_12_14_49_18FrontDepth.avi 2 0 2
./normal/uncrowd/2015_05_12_14_54_08FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_15_05_09FrontDepth.avi 3 0 0
./normal/uncrowd/2015_05_12_15_07_49FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_15_08_38FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_15_12_09FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_15_17_25FrontDepth.avi 4 0 0
./normal/uncrowd/2015_05_12_15_19_35FrontDepth.avi 4 0 0
./normal/uncrowd/2015_05_12_15_20_34FrontDepth.avi 1 0 0
./noisy/uncrowd/2015_05_12_15_28_20FrontDepth.avi 4 0 2
./normal/uncrowd/2015_05_12_15_33_24FrontDepth.avi 2 0 0
./normal/crowd/2015_05_12_15_38_30FrontDepth.avi 10 0 1
./noisy/uncrowd/2015_05_12_15_41_31FrontDepth.avi 1 0 2
./normal/uncrowd/2015_05_12_15_42_05FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_15_47_50FrontDepth.avi 5 0 0
./normal/crowd/2015_05_12_15_50_06FrontDepth.avi 9 0 1
./normal/crowd/2015_05_12_15_50_30FrontDepth.avi 4 0 1
./normal/uncrowd/2015_05_12_15_51_38FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_15_53_17FrontDepth.avi 3 0 0
./normal/uncrowd/2015_05_12_15_55_13FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_15_56_05FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_16_06_55FrontDepth.avi 2 0 0
./noisy/uncrowd/2015_05_12_16_26_35FrontDepth.avi 0 2 2
./noisy/crowd/2015_05_12_16_32_14FrontDepth.avi 2 1 3
./normal/uncrowd/2015_05_12_16_41_53FrontDepth.avi 1 0 0
./noisy/uncrowd/2015_05_12_16_54_47FrontDepth.avi 3 0 2
./normal/crowd/2015_05_12_16_57_02FrontDepth.avi 6 0 1
./normal/uncrowd/2015_05_12_17_30_09FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_17_32_24FrontDepth.avi 8 0 0
./normal/uncrowd/2015_05_12_17_37_54FrontDepth.avi 5 0 0
./noisy/uncrowd/2015_05_12_17_48_47FrontDepth.avi 2 0 2
./normal/crowd/2015_05_12_18_10_31FrontDepth.avi 3 1 1
./normal/crowd/2015_05_12_18_54_27FrontDepth.avi 3 0 1
./normal/uncrowd/2015_05_12_19_08_49FrontDepth.avi 1 0 0
